No,종목명,티커,외인연속매수일,기관연속매수일,외인매수(억),기관매수(억),중간매도기간(외),중간매도기간(기),종가,라이브PBR,부채비율,유보율,영업이익률(%),매출증가율(%),V5/V20,P5/P20,이평배열,엔벨상태,골든크로스,엔벨타점,52주위치(%),재무등급,수집시각
1,씨에스윈드,112610,0,0,,,0,0,52200.0,,,,,,120.4,104.3,혼합,중립,False,False,39.4,-,2026-09-11 10:31:27
2,SK디스커버리,006120,0,0,,,0,0,57800.0,,,,,,100.6,107.2,완전정배열,중립,False,False,58.9,-,2026-09-11 10:31:32
3,SK리츠,395400,0,0,,,0,0,5240.0,,,,,,84.9,95.5,완전역배열,중립,False,False,19.7,-,2026-09-11 10:31:36
4,헥토이노베이션,214180,0,0,,,0,0,14480.0,,,,,,57.4,99.4,완전역배열,중립,False,False,16.8,-,2026-09-11 10:31:41
5,에이디테크놀로지,200710,0,0,,,0,0,24200.0,,,,,,101.2,98.0,완전역배열,중립,False,False,8.9,-,2026-09-11 10:31:45
6,에스앤에스텍,101490,0,0,,,0,0,41150.0,,,,,,167.5,99.4,완전역배열,중립,False,False,12.1,-,2026-09-11 10:31:50
7,대덕,008060,0,0,,,0,0,14400.0,,,,,,92.3,94.4,완전역배열,중립,False,False,39.9,-,2026-09-11 10:31:54
8,아모센스,357580,0,0,,,0,0,5210.0,,,,,,86.6,97.6,완전역배열,중립,False,False,4.3,-,2026-09-11 10:31:59
9,CJ제일제당,097950,0,0,,,0,0,179500.0,,,,,,61.9,98.3,완전역배열,중립,False,False,8.7,-,2026-09-11 10:32:03
10,휴젤,145020,0,0,,,0,0,233500.0,,,,,,66.9,96.6,완전역배열,중립,False,False,18.7,-,2026-09-11 10:32:07
11,엑시콘,092870,0,0,,,0,0,28850.0,,,,,,71.7,109.0,완전정배열,상단돌파,False,True,59.9,-,2026-09-11 10:32:12
12,HK이노엔,195940,0,0,,,0,0,40500.0,,,,,,61.9,96.0,완전역배열,중립,False,False,23.9,-,2026-09-11 10:32:17
13,뉴로메카,348340,0,0,,,0,0,19130.0,,,,,,85.6,97.3,완전역배열,중립,False,False,6.4,-,2026-09-11 10:32:21
14,코스텍시스,355150,0,0,,,0,0,19700.0,,,,,,58.6,97.8,완전역배열,중립,False,False,17.1,-,2026-09-11 10:32:25
15,KB S&P 인버스 2X WTI원유 선물 ETN B,580069,0,0,,,0,0,1662.0,,,,,,159.9,81.3,완전역배열,하단이탈,False,False,0.2,-,2026-09-11 10:32:29
16,두산로보틱스,454910,0,0,,,0,0,71100.0,,,,,,101.1,100.0,혼합,중립,False,False,14.6,-,2026-09-11 10:32:34
17,코오롱ENP,138490,0,0,,,0,0,15000.0,,,,,,0.0,102.3,완전정배열,중립,False,False,94.3,-,2026-09-11 10:32:38
18,에치에프알,230240,0,0,,,0,0,11670.0,,,,,,103.4,91.8,완전역배열,하단이탈,False,False,1.5,-,2026-09-11 10:32:43
19,칩스앤미디어,094360,0,0,,,0,0,10650.0,,,,,,139.9,101.1,혼합,중립,False,False,21.7,-,2026-09-11 10:32:48
20,에코프로머티,450080,0,0,,,0,0,36300.0,,,,,,83.1,99.6,완전역배열,중립,False,False,14.9,-,2026-09-11 10:32:52
